video_id,title,channel_id,channel_title,category,published_at,view_count,like_count,comment_count,region
yGnoL2FfzmE,AMERICA'S MOST UNWANTED | Crime Simulator - Part 3,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,Gaming,2025-10-01T19:58:43Z,536700,36031,592,US
vHJLmw07y4w,Where Have You Been?,UCSQFoA-K5Vpzpgjv4d5DCYw,KO - Topic,Music,2025-09-27T11:29:39Z,223926,8013,22,US
QD8Bbl7fW58,Things you may have missed in the Hazbin Hotel Season 2 Trailer,UCKUAVy2Kd0vAsu1D89y7ujg,Ayy Lmao,Film & Animation,2025-10-01T17:58:58Z,105496,6685,533,US
gd7aCgclpj8,Creepy Fishing...,UC63anZxfVGHUEmfBAf5w7pw,CaseOh,Gaming,2025-10-01T22:01:00Z,323047,11103,706,US
MEb49Q9ZRGo,Lamb of God - Sepsis (Official Music Video),UC0Ri4yolakY_tb7RdcvzQ2g,lambofgodVEVO,Music,2025-10-02T14:00:06Z,57246,8767,1207,US
ZytgIFrUVfw,Ghost of Yōtei - Accolades Trailer | PS5 Games,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,Gaming,2025-10-01T19:30:06Z,135395,6034,643,US
WcMp-3MBmz0,The Shrek Movie Games,UCJHM5IJ44__fkOxkD4vxoBw,Burback,People & Blogs,2025-10-01T18:51:04Z,403021,20178,1279,US
QHkxnXFAi7o,Raq baby -  Junior (Official Music Video),UCl_wXuvsyG7tgDhmfTJBrTA,Raq baby,Music,2025-10-01T21:00:35Z,64530,5371,210,US
fw45VPSByd4,My Singing Monsters - Carnival of Chaos starring @bbnomoney (Official Paironormal Carnival Trailer),UCngRsuvI1zxHR9vwNZvpTAw,My Singing Monsters,Gaming,2025-10-01T15:00:06Z,156087,8064,773,US
lxJG6FBo9h8,Microsoft f*cked up real bad..,UCMwJJL5FJFuTRT55ksbQ4GQ,Asmongold Clips,Gaming,2025-10-02T01:42:49Z,1358275,77020,9607,US
uh7AaPMv5yM,"Sua Lo Mala'c (feat. Nineden, Dirtheedogg & Baka Jay)",UCIBL5nZ8NFhZUzM6Z1bQOAw,Gobby YT - Topic,Music,2025-09-20T10:53:59Z,59278,1304,81,US
q0Fa9mu88zE,"Heaven Wants Peace, Hell Wants War: Hazbin Hotel Season 2 Trailer Breakdown",UCPDExPQ09Vc6_Gj_Ga6MwKw,Cartoon Universe,Film & Animation,2025-10-01T19:30:58Z,73968,3703,389,US
uID-UsDuldo,I Added JUMPSCARES to Scare My Crush in Steal a Brainrot,UCY0R0Ck6qK2deVTKkfWJIEA,CashBlox,Entertainment,2025-10-02T11:01:49Z,242460,4159,879,US
0mo5FtGpwdE,El Empresario,UC7nUxsoeZkKUdgIfFUC1gQQ,Efecto Elegante - Topic,Music,2025-09-25T10:00:03Z,142424,1215,4,US
3GSUbJB0oOg,"The Carpenter's Son - Official Trailer | Nicolas Cage, Noah Jupe, FKA twigs | In Theaters Nov 14",UCneoi6WTgRjMh4otvpwzv8w,Magnolia Pictures & Magnet Releasing,Film & Animation,2025-10-01T15:00:02Z,98926,1901,530,US
zdvHgdSA8g8,"Fuerza Regida, Grupo Frontera - COQUETA (Letra)",UCgQA23m8tvTQS6xRp3IqBdQ,warui.,Music,2025-10-01T21:01:09Z,135123,504,8,MX
FONMIlQJBC4,"Trailer Avengers Doomsday OFICIAL! fecha y qué va a pasar, Marvel Zombies 2, Secret Wars",UCsMzBY3X_RS6GhGBiHXW19A,Pelicomic,Entertainment,2025-10-02T03:48:51Z,223447,14363,856,MX
xZbAooUlDmM,PODREMOS ROBAR BRAINROTS EN ROBA UN BRAINROT PERO SIN ROBUX!💲,UColTsB6zogXWooPbeO67Wgw,ElAbrahaham,Gaming,2025-10-01T17:30:13Z,1391060,33002,4629,MX
SE4KayrsaPg,Young Miko - Meiomi (Official),UCXF4IGVcTnm6v9tBPGYNsQg,YoungMikoVEVO,Music,2025-10-02T00:00:06Z,286241,39996,2949,MX
jvb6b-9vq2U,Hazbin Hotel - Season 2 Official Trailer | Prime Video,UCzfyYtgvkx5mLy8nlLlayYg,Vivziepop,Film & Animation,2025-10-01T16:28:38Z,1678123,195550,12571,MX
dPcrI39d-f4,Conseguí BRAINROTS GIGANTES en un SERVER de ADMIN de Steal a Brainrot,UCbtLdlNCv721DvMBZrF5XSQ,SoyNeto,Gaming,2025-10-01T23:43:03Z,1042156,7132,1060,MX
EWbqwA4FhQM,Fuerza Regida - PERO NO TE ENAMORES (Letra/Lyrics),UCU8FHs_uSV10jFb0RqpiqKQ,Velada,People & Blogs,2025-09-30T20:30:03Z,158604,239,4,MX
jikDUlCXp80,Maxton Hall Segunda Temporada | Tráiler Oficial,UCP7i-E6AYr-UChpNcO0EEag,Prime Video Latinoamérica,Film & Animation,2025-10-02T13:01:26Z,9790,776,35,MX
dYw2AolN9xc,¡Among Us PERO es BOB ESPONJA! 🔪🧽🦀☠️ SILVIOGAMER en AMONG US PERO ⭐,UCCrA8ZN1J3S52wuF4vthZFQ,Silvio Gamer,Gaming,2025-10-01T21:57:15Z,568963,19970,2154,MX
UXW4kLAzxOs,Eros Ramazzotti - Otra Como Tú (Letra/Lyrics),UCZCmb5a8LE9LMxW9I3-BFjA,ourmemoriestonight,Music,2025-10-01T12:30:40Z,191872,559,1,MX
K71UeZ9lHh4,Frankenstein | Guillermo del Toro | Tráiler oficial | Netflix,UC5ZiUaIJ2b5dYBYGf5iEUrA,Netflix Latinoamérica,Entertainment,2025-10-01T13:00:03Z,61728,2691,127,MX
Ik4Cgquw-D8,Trick or Treat Boxes?!,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,Gaming,2025-10-02T08:20:46Z,1442657,58410,2007,MX
gOIS8OP7txQ,Danny Ocean - Me Rehúso (Letra),UCrEPUe5T96gQ1RQ1WRMrVFg,The Best Flow,Music,2025-09-29T18:15:06Z,25569,49,2,MX
HJzSlErp1vw,Maxton Hall Season 2 - Official Trailer | Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,Prime Video,Entertainment,2025-10-02T13:00:35Z,123124,6797,300,MX
7uCXtH_D9h0,Me Convertí en BEBÉ TRANSFORMER para Trollear a Mis Amigos en Minecraft!,UCEs5MQjXJq27-X2vgdwtYDw,Dagar,Gaming,2025-10-01T18:50:52Z,608036,7799,293,MX
zi-_wo6D3zM,"Reik, Maluma - Amigos Con Derechos (Letra)",UCcXifH1pPqzadvzmTBI4Zsg,Latin Love,Music,2025-10-01T17:30:22Z,43797,86,0,MX
DZ7LcYPykug,TRAILER FINAL DE HAZBIN HOTEL TEMPORADA 2 // ANALISIS Y PRIMERAS IMPRESIONES #hazbinhotel,UChMsLCAyu7cqgWjO6FQBnXQ,Zona Tiza,Film & Animation,2025-10-02T01:12:24Z,42638,4016,335,MX
NTNUjnzl7xU,Usé HACKS INCREÍBLES en 99 Noches en el Bosque en Roblox!,UCmkyN2GfMyR7gsIiKBCR3nw,Dagar Roblox,Gaming,2025-10-01T16:46:28Z,546619,8572,318,MX
ReLUm-dFNGg,"💖CUMBIAS VIEJITAS CLÁSICAS INOLVIDABLES💃RIGO TOVAR, XAVIER PASSOS,TOMMY RAMIREZ✨LA MEJOR SELECCIÓN💖",UCrlciet-In2c-SxG7NL-XEw,RIGO TOVAR MIX,Music,2025-10-02T12:00:54Z,9027,81,2,MX
ZL4jOPorLQM,Pokémon Legends: Z-A – Nintendo Switch 2 Edition — Overview Trailer,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,Gaming,2025-10-02T13:01:10Z,378592,19242,3940,MX
AkqDFXqQi8k,It's Time to Settle the Score - The Revenge Room,UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,Gaming,2025-10-02T09:00:14Z,1155334,23286,1108,MX
Yi9D2nlkV0o,Perdoname,UCacSlCXM3A96bPYPmx4lssQ,Joaquin el Guache - Topic,Music,2025-09-28T19:47:13Z,12381,270,0,MX
EUgTDWgp1Q8,Official Trailer | Zomvivor Series : มหาลัยคลั่ง,UC_HtEPrXQYKJ9Pihwg0u1Rw,Mandee Channel,Entertainment,2025-10-02T04:29:59Z,182606,18301,1068,MX
PZJVVR_muiI,NUNCA Volveremos a Este LAGO MALDITO en Minecraft…,UC62nFXtc3KNujp9LCPJt-sA,Awita,Gaming,2025-10-02T00:25:01Z,323184,6739,969,MX
v9A7wafy70E,Fuerza Regida X Bellakath - FRESITA (Letra/Lyrics),UCAg5-sf8xDwvu9DBAzLQtBg,RegueZone,Music,2025-10-01T18:01:06Z,22475,83,2,MX
sO0LJprpZd4,Dragon Ball: Sparking! Zero - Over 200 Characters Trailer | PS5 Games,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,Gaming,2025-10-02T14:15:07Z,98103,6092,830,MX
2EP4qrZptWg,EL NUEVO SONIC RACING ES UNA LOCURA,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,Gaming,2025-10-01T19:04:11Z,925879,58038,1024,MX
hutncOuO1zU,Lo Mejor Del Álbum Completo De Ha Ash 2025 ~ Mejores Artistas Para Escuchar 2025,UC3IK0wvJDHknRnAoZ4JkT1Q,LATINO ROMANTICO MIX,People & Blogs,2025-10-01T11:01:16Z,25435,282,2,MX
T84cC4AA8U4,Teléfono Negro 2 - Tráiler Oficial 3 (Universal Pictures) HD,UCuON8B3q1FMIOSE-0sbC_rQ,Universal Pictures México,Film & Animation,2025-10-01T17:54:58Z,19469,442,36,MX
NNT_oWfigXw,ROBÉ la CUENTA de una ESTAFADORA y TERMINA LLORANDO en 99 NOCHES en el BOSQUE ROBLOX,UCFP33-zlNfJVzWUUbdhSjTQ,SoyPato,Gaming,2025-10-01T19:37:00Z,448163,5931,1240,MX
Y-q8pThpExE,Loreen - Tattoo (Lyrics),UCHfNeh3zh-1dTXHNwp2QQdw,7clouds Drum & Bass,Music,2025-09-29T13:59:16Z,104067,443,7,MX
11j2wQFm-tc,FRANKENSTEIN Tráiler Español Latino (2025) Guillermo del Toro,UCcVNDl7ZJMf9lC9a34CY4RA,ONE Media Español,Film & Animation,2025-10-01T13:07:53Z,44507,1726,114,MX
tsg4lTJtMFw,سبايدر مان اصعب دراجة نارية فوق اسماك القرش - Superheroes Ride on Motorcycle Stunt Funny Moments??,UC8OENNlrBP8KqUAav1T-hXA,GTA Affect,Gaming,2025-10-02T12:35:24Z,268360,72661,1365,MX
qf40psIOgKc,Yandel - Nunca Me Olvides (Letra),UCLlKsMNJqvQD3cIqYQ-1wkQ,Cactus Regional,People & Blogs,2025-09-29T13:30:51Z,90128,180,0,MX
fThsrQheT0s,ROBÉ LOS NUEVOS BRAINROTS OG DEL ADMIN…😨 STEAL A BRAINROT,UCTOtCf_eWYDOoljZSVYCL2A,Donato Roblox,Gaming,2025-10-01T21:45:07Z,335177,7256,284,MX
